Frame, X, Y
239, 588, 343
240, 588, 343
240, 238, 261
241, 588, 347
242, 588, 344
243, 588, 345
245, 586, 348
245, 591, 337
246, 588, 343
246, 239, 264
246, 241, 252
247, 588, 344
248, 590, 340
249, 588, 345
249, 238, 256
250, 588, 345
250, 238, 256
251, 589, 343
251, 237, 262
252, 590, 341
252, 236, 257
253, 588, 346
254, 586, 348
255, 588, 344
255, 239, 255
256, 586, 347
257, 589, 341
258, 589, 348
259, 586, 349
259, 591, 337
260, 586, 349
260, 591, 337
261, 589, 342
262, 587, 349
263, 589, 343
264, 589, 345
265, 589, 346
265, 617, 327
266, 587, 348
266, 252, 258
268, 587, 348
269, 589, 343
270, 588, 345
270, 233, 253
271, 588, 345
271, 233, 253
272, 587, 347
273, 589, 342
273, 619, 328
274, 586, 346
274, 221, 259
275, 588, 343
276, 587, 343
276, 618, 327
276, 213, 300
276, 217, 258
277, 585, 343
278, 587, 343
279, 585, 344
280, 585, 351
280, 588, 338
280, 211, 259
281, 585, 351
281, 588, 338
281, 211, 259
282, 586, 340
282, 211, 258
283, 585, 342
284, 586, 343
285, 586, 341
286, 584, 342
287, 585, 339
288, 586, 342
289, 588, 344
290, 587, 343
293, 212, 259
296, 213, 253
298, 207, 301
305, 211, 302
306, 212, 302
307, 213, 302
308, 213, 302
308, 216, 253
309, 216, 253
311, 215, 259
317, 217, 256
318, 217, 256
320, 213, 303
320, 217, 259
321, 217, 258
322, 217, 261
323, 218, 259
324, 207, 302
325, 215, 303
326, 218, 261
328, 218, 261
329, 218, 259
332, 218, 261
334, 217, 303
335, 219, 260
339, 220, 258
340, 220, 257
341, 216, 303
341, 220, 256
343, 220, 260
344, 209, 300
344, 220, 257
348, 221, 258
349, 221, 255
350, 221, 256
354, 217, 297
355, 224, 249
358, 223, 257
361, 223, 247
362, 223, 247
364, 220, 297
364, 224, 249
366, 224, 257
367, 224, 255
368, 220, 296
369, 222, 295
369, 225, 253
371, 228, 253
372, 230, 250
373, 233, 251
376, 243, 246
378, 249, 255
379, 246, 295
379, 254, 246
384, 269, 248
398, 262, 298
399, 264, 254
400, 255, 298
400, 260, 257
402, 253, 257
403, 250, 252
412, 228, 300
419, 235, 258
423, 244, 254
425, 246, 260
427, 252, 257
428, 255, 259
429, 258, 262
429, 259, 252
430, 260, 262
431, 263, 258
432, 263, 258
433, 267, 260
434, 268, 263
436, 264, 302
438, 270, 257
440, 271, 257
441, 271, 256
442, 271, 256
444, 264, 299
444, 271, 252
445, 270, 251
446, 263, 298
446, 269, 252
447, 269, 254
449, 269, 254
450, 270, 254
452, 270, 254
453, 270, 254
454, 270, 256
457, 271, 258
458, 272, 251
463, 270, 260
464, 270, 260
465, 270, 260
467, 270, 256
469, 270, 258
470, 270, 255
472, 269, 260
473, 271, 255
474, 271, 255
475, 270, 258
476, 264, 302
476, 270, 259
477, 270, 263
477, 272, 251
480, 270, 260
484, 272, 252
485, 272, 252
489, 270, 263
491, 271, 261
498, 272, 257
499, 272, 259
501, 272, 257
504, 266, 298
505, 273, 257
506, 273, 257
508, 274, 249
509, 273, 255
512, 267, 296
514, 277, 253
515, 280, 254
518, 287, 250
519, 282, 295
521, 291, 249
523, 290, 250
526, 286, 252
527, 284, 254
530, 278, 258
534, 271, 256
535, 260, 299
539, 219, 297
540, 216, 252
541, 211, 296
541, 212, 251
542, 212, 249
543, 212, 254
545, 212, 301
545, 216, 257
