Frame, X, Y
1, 306.1285705566406, 348.17529296875
2, 305.7415771484375, 348.6151123046875
3, 302.1440124511719, 352.9631042480469
4, 300.4274597167969, 357.5410461425781
5, 297.79327392578125, 362.78668212890625
6, 281.41741943359375, 140.7915802001953
7, 193.8708038330078, 91.38263702392578
8, 201.01382446289062, 395.4686279296875
9, 215.27662658691406, 91.22303009033203
10, 227.642333984375, 91.72425079345703
11, 213.68637084960938, 416.20416259765625
12, 130.88693237304688, 133.807373046875
13, 336.7347412109375, 332.2991943359375
14, 365.4693298339844, 338.7417907714844
15, 379.37066650390625, 254.57254028320312
16, 374.7803955078125, 253.8702850341797
17, 374.7803955078125, 253.8702850341797
18, 363.4588317871094, 252.40557861328125
19, 364.17816162109375, 255.67404174804688
20, 365.6325378417969, 256.4492492675781
21, 378.3492126464844, 252.08587646484375
22, 378.3492126464844, 252.08587646484375
23, 381.14251708984375, 250.73947143554688
24, 383.1103820800781, 249.98045349121094
25, 390.51239013671875, 247.91954040527344
26, 392.37646484375, 247.3987274169922
27, 398.8126525878906, 243.47764587402344
28, 401.33770751953125, 241.7663116455078
29, 403.55126953125, 240.15679931640625
30, 406.12396240234375, 238.7610321044922
31, 427.38385009765625, 232.127685546875
32, 441.5516662597656, 228.20318603515625
33, 444.4975891113281, 227.83531188964844
34, 446.15869140625, 228.5294647216797
35, 447.9073486328125, 229.10122680664062
36, 450.1419982910156, 230.002197265625
37, 472.02557373046875, 228.6057891845703
38, 475.2826232910156, 227.17945861816406
39, 480.42852783203125, 226.4473114013672
40, 481.6468505859375, 226.64244079589844
41, 482.7390441894531, 227.6146697998047
42, 490.775634765625, 230.2021484375
43, 492.3177490234375, 230.04209899902344
44, 495.156005859375, 229.4188232421875
45, 495.60980224609375, 229.52517700195312
46, 495.8999328613281, 230.22750854492188
47, 497.45599365234375, 231.20864868164062
48, 497.45599365234375, 231.20864868164062
49, 496.25408935546875, 231.7803497314453
50, 495.58709716796875, 232.16290283203125
51, 495.1829528808594, 232.6222381591797
52, 492.5865478515625, 233.27230834960938
53, 491.25592041015625, 233.602783203125
54, 485.26580810546875, 235.91392517089844
55, 483.9090881347656, 236.66815185546875
56, 483.3303527832031, 237.65017700195312
57, 491.5032958984375, 237.31845092773438
58, 497.083740234375, 236.62612915039062
59, 503.27520751953125, 236.31629943847656
60, 532.0185546875, 230.714599609375
61, 536.2731323242188, 228.41793823242188
62, 524.8677978515625, 229.5989990234375
63, 520.1565551757812, 231.68362426757812
64, 516.7326049804688, 232.9338836669922
65, 514.33935546875, 234.15969848632812
66, 515.2320556640625, 233.95782470703125
67, 516.6464233398438, 233.59812927246094
68, 518.8201904296875, 232.44027709960938
69, 524.3675537109375, 229.02618408203125
70, 525.1549682617188, 228.8793182373047
71, 525.6288452148438, 228.9293212890625
72, 526.830322265625, 229.39292907714844
73, 527.53564453125, 228.76853942871094
74, 527.6898803710938, 228.67031860351562
75, 528.2471313476562, 228.61802673339844
76, 528.4033203125, 228.56593322753906
77, 528.3291015625, 228.2368927001953
78, 524.5862426757812, 227.78433227539062
79, 522.78857421875, 228.294921875
80, 520.4737548828125, 228.5748748779297
81, 507.00439453125, 229.9353790283203
82, 502.36859130859375, 230.25181579589844
83, 496.35888671875, 231.27737426757812
84, 479.0188903808594, 239.13323974609375
85, 477.87139892578125, 241.3609619140625
86, 478.382568359375, 242.4532012939453
87, 488.97381591796875, 239.6190948486328
88, 491.9639587402344, 238.26348876953125
89, 495.31439208984375, 237.3042449951172
90, 499.8653564453125, 234.65847778320312
91, 499.6326904296875, 234.7847442626953
92, 498.97979736328125, 235.653076171875
93, 495.59051513671875, 237.8629913330078
94, 494.67669677734375, 238.22146606445312
95, 493.29803466796875, 238.45361328125
96, 486.5015869140625, 240.84765625
97, 484.3436584472656, 241.39361572265625
98, 482.2166442871094, 242.01556396484375
99, 472.69183349609375, 244.3424530029297
100, 470.06298828125, 244.50331115722656
101, 467.14788818359375, 245.69866943359375
102, 454.664306640625, 248.93527221679688
103, 451.6600341796875, 250.3165740966797
104, 449.27880859375, 251.2901611328125
105, 442.6995849609375, 256.90625
106, 442.0795593261719, 257.6039123535156
107, 441.5648193359375, 258.2642822265625
108, 440.4332275390625, 259.2953186035156
109, 440.33837890625, 259.4875183105469
110, 440.06085205078125, 259.6402282714844
111, 439.74713134765625, 260.3781433105469
112, 439.5478515625, 260.4918212890625
113, 439.6271667480469, 260.4876403808594
114, 440.4583740234375, 260.0804138183594
115, 440.9892578125, 259.8656005859375
116, 443.27349853515625, 258.2904357910156
117, 444.0044860839844, 257.9515686035156
118, 444.5574951171875, 257.4471435546875
119, 445.5885009765625, 257.0252380371094
120, 445.9981384277344, 257.1802062988281
121, 446.0941162109375, 257.1044006347656
122, 446.7855224609375, 257.6954040527344
123, 447.0157775878906, 257.56744384765625
124, 447.3570556640625, 257.468994140625
125, 448.1391296386719, 257.0641784667969
126, 449.716552734375, 254.2924041748047
127, 450.24688720703125, 253.8695831298828
128, 452.509521484375, 252.31387329101562
129, 453.30584716796875, 251.2457733154297
130, 455.261474609375, 249.03907775878906
131, 456.5133056640625, 247.45458984375
132, 463.5208435058594, 243.02378845214844
133, 463.5208435058594, 243.02378845214844
134, 472.73651123046875, 238.9325714111328
135, 475.8782958984375, 237.61849975585938
136, 479.66693115234375, 236.15869140625
137, 492.21087646484375, 227.07394409179688
138, 494.8939208984375, 225.10206604003906
139, 497.32244873046875, 223.3083953857422
140, 504.5914306640625, 221.7128143310547
141, 506.0767822265625, 221.075439453125
142, 507.5030517578125, 220.4118194580078
143, 515.3341674804688, 218.5628662109375
144, 518.278076171875, 216.89352416992188
145, 521.8687744140625, 215.66482543945312
146, 524.3173217773438, 214.24710083007812
147, 528.7783203125, 211.50306701660156
148, 527.6249389648438, 211.69078063964844
149, 521.4056396484375, 211.63839721679688
150, 505.7525329589844, 214.49790954589844
151, 499.2148742675781, 215.2461395263672
152, 475.74114990234375, 222.8164520263672
153, 471.8774719238281, 224.38145446777344
154, 468.3547668457031, 225.55885314941406
155, 465.2200622558594, 226.84222412109375
156, 455.03570556640625, 230.53846740722656
157, 453.1389465332031, 231.69805908203125
158, 450.95306396484375, 233.2376251220703
159, 447.68353271484375, 235.1495361328125
160, 447.04437255859375, 235.04010009765625
161, 447.14208984375, 234.6567840576172
162, 449.6241455078125, 234.59423828125
163, 450.53021240234375, 234.16078186035156
164, 451.0795593261719, 233.90542602539062
165, 451.5709533691406, 233.43228149414062
166, 451.65576171875, 233.3847198486328
167, 451.10504150390625, 233.70518493652344
168, 444.85137939453125, 236.49307250976562
169, 442.58197021484375, 237.9994659423828
170, 440.63128662109375, 239.15818786621094
171, 438.5890197753906, 240.39576721191406
