Frame, X, Y
1, 457.9898681640625, 309.5940856933594
2, 561.8906860351562, 296.3878173828125
3, 452.0077209472656, 306.2044372558594
4, 451.7061462402344, 306.13153076171875
5, 451.32830810546875, 305.9791259765625
6, 458.3798828125, 299.57037353515625
7, 351.6531066894531, 409.3575744628906
8, 628.8714599609375, 89.55433654785156
9, 480.509521484375, 199.924560546875
10, 144.89202880859375, 150.97579956054688
11, 149.48394775390625, 145.8502655029297
12, 143.89877319335938, 144.362548828125
13, 602.8699340820312, 113.21649932861328
14, 311.47119140625, 165.4508056640625
15, 311.04681396484375, 156.4663543701172
16, 305.99896240234375, 153.125732421875
17, 305.99896240234375, 153.125732421875
18, 280.4302978515625, 161.49778747558594
19, 278.1430358886719, 169.69265747070312
20, 493.832275390625, 354.42620849609375
21, 606.2339477539062, 272.59320068359375
22, 619.8809814453125, 413.3621826171875
23, 628.396240234375, 116.24571990966797
24, 262.8397216796875, 273.4804992675781
25, 260.4979553222656, 273.677490234375
26, 259.35870361328125, 274.5817565917969
27, 258.9847412109375, 280.80419921875
28, 259.7258605957031, 282.39654541015625
29, 259.1385803222656, 290.57708740234375
30, 259.81494140625, 292.19970703125
31, 261.11102294921875, 292.9580078125
32, 268.338134765625, 289.2218322753906
33, 270.716064453125, 287.7642822265625
34, 272.2939453125, 286.7375183105469
35, 273.6851806640625, 286.0808410644531
36, 278.9728088378906, 282.9577331542969
37, 281.2574157714844, 282.12310791015625
38, 284.0240783691406, 281.1129150390625
39, 291.9549865722656, 278.14239501953125
40, 294.344970703125, 277.5098571777344
41, 296.29840087890625, 277.0729064941406
42, 298.2557678222656, 277.16815185546875
43, 310.9327392578125, 272.22052001953125
44, 314.7979736328125, 271.7802429199219
45, 314.9846496582031, 271.77301025390625
46, 302.15692138671875, 277.27490234375
47, 239.23849487304688, 198.17591857910156
48, 180.4878692626953, 216.94512939453125
49, 235.70997619628906, 319.96038818359375
50, 226.87303161621094, 330.6817932128906
51, 230.47662353515625, 329.2591857910156
52, 235.5804443359375, 326.8262023925781
53, 240.73196411132812, 324.93731689453125
54, 260.2618408203125, 317.1218566894531
55, 263.8419189453125, 315.38616943359375
56, 266.76812744140625, 314.0058898925781
57, 164.99862670898438, 177.3138885498047
58, 205.27513122558594, 428.99267578125
59, 244.88311767578125, 368.6114501953125
60, 475.1192626953125, 408.1354064941406
61, 260.5956115722656, 380.99237060546875
62, 275.7471923828125, 385.7987976074219
63, 273.87255859375, 383.8689270019531
64, 271.35357666015625, 380.2724914550781
65, 266.5375061035156, 370.89251708984375
66, 268.07440185546875, 370.81976318359375
67, 269.75445556640625, 371.9302062988281
68, 281.4354553222656, 379.8143615722656
69, 283.1731872558594, 381.42718505859375
70, 283.84893798828125, 382.52862548828125
71, 284.19317626953125, 383.0566711425781
72, 289.4285583496094, 191.93724060058594
73, 308.51019287109375, 396.6195373535156
74, 192.04995727539062, 311.7825927734375
75, 601.7076416015625, 113.02073669433594
76, 385.489013671875, 470.3848571777344
77, 188.84913635253906, 133.09539794921875
78, 602.1724853515625, 113.0068130493164
79, 491.6062316894531, 379.2890625
80, 185.89456176757812, 240.41285705566406
81, 279.46966552734375, 369.94317626953125
82, 279.601318359375, 369.18267822265625
83, 283.3497619628906, 370.9419250488281
84, 469.07281494140625, 347.2749328613281
85, 151.7608642578125, 206.86331176757812
86, 20.384777069091797, 385.12774658203125
87, 381.7356262207031, 460.0516357421875
88, 382.21240234375, 459.9183044433594
89, 380.4710693359375, 458.136474609375
90, 377.58447265625, 452.8463439941406
91, 558.4951782226562, 277.86163330078125
92, 472.81353759765625, 177.8810577392578
93, 314.442138671875, 389.23126220703125
94, 311.0685119628906, 385.0168151855469
95, 308.7576904296875, 382.23443603515625
96, 307.16278076171875, 381.0186767578125
97, 305.5831298828125, 379.5008544921875
98, 305.91156005859375, 379.61920166015625
99, 306.3323974609375, 380.3027038574219
100, 309.74139404296875, 383.98846435546875
101, 310.7796630859375, 385.47540283203125
